Post Code;Location Code Name;Group Name;Area;Ops Cntr;Country;Days Serviced;Carrier
0001;PRETORIA CENTRAL                        ;PRETORIA       ;PRYC;PRY ;SA  ;DAILY     ;DWPRY 
0002;BEREA PARK                              ;PRETORIA       ;PRYC;PRY ;SA  ;DAILY     ;DWPRY 
0002;CENTRAL                                 ;PRETORIA       ;PRYC;PRY ;SA  ;DAILY     ;DWPRY 
0002;CLYDESDALE                              ;PRETORIA       ;PRYC;PRY ;SA  ;DAILY     ;DWPRY 
0002;DEFENCE FORCE AREA                      ;PRETORIA       ;PRYC;PRY ;SA  ;DAILY     ;DWPRY 
0002;GEVANGENISTERREIN                       ;PRETORIA       ;PRYC;PRY ;SA  ;DAILY     ;DWPRY 
0002;GOEDEHOOP                               ;PRETORIA       ;PRYC;PRY ;SA  ;DAILY     ;DWPRY 
0002;MARABASTAD                              ;PRETORIA       ;PRYC;PRY ;SA  ;DAILY     ;DWPRY 
0002;MORELETTA PARK                          ;PRETORIA       ;PRYC;PRY ;SA  ;DAILY     ;DWPRY 
0002;MUCKLENEUK                              ;PRETORIA       ;PRYC;PRY ;SA  ;DAILY     ;DWPRY 
0002;PRETORIA                                ;PRETORIA       ;PRYC;PRY ;SA  ;DAILY     ;DWPRY 
0002;PRETORIA CENTRAL                        ;PRETORIA       ;PRYC;PRY ;SA  ;DAILY     ;DWPRY 
0002;PRINCE'S PARK                           ;PRETORIA       ;PRYC;PRY ;SA  ;DAILY     ;DWPRY 
0002;PRISON AREA                             ;PRETORIA       ;PRYC;PRY ;SA  ;DAILY     ;DWPRY 
0002;RAILWAY RESERVE                         ;PRETORIA       ;PRYC;PRY ;SA  ;DAILY     ;DWPRY 
0002;RIVERDAL                                ;PRETORIA       ;PRYC;PRY ;SA  ;DAILY     ;DWPRY 
0002;RIVERDALE                               ;PRETORIA       ;PRYC;PRY ;SA  ;DAILY     ;DWPRY 
0002;SALVOKOP                                ;PRETORIA       ;PRYC;PRY ;SA  ;DAILY     ;DWPRY 
0002;SENTRAAL                                ;PRETORIA       ;PRYC;PRY ;SA  ;DAILY     ;DWPRY 
0002;SKANSKOP                                ;PRETORIA       ;PRYC;PRY ;SA  ;DAILY     ;DWPRY 
0002;SPOORWEGTERREIN                         ;PRETORIA       ;PRYC;PRY ;SA  ;DAILY     ;DWPRY 
0002;SUNNYSIDE                               ;PRETORIA       ;PRYC;PRY ;SA  ;DAILY     ;DWPRY 
0002;SUNNYSIDE (PRETORIA)                    ;PRETORIA       ;PRYC;PRY ;SA  ;DAILY     ;DWPRY 
0002;SUNNYSIDE (Pretoria)                    ;PRETORIA       ;PRYC;PRY ;SA  ;DAILY     ;DWPRY 
0002;TREVENNA                                ;PRETORIA       ;PRYC;PRY ;SA  ;DAILY     ;DWPRY 
0002;TSHWANE                                 ;PRETORIA       ;PRYC;PRY ;SA  ;DAILY     ;DWPRY 
0002;VERDEDIGINGSTERREIN                     ;PRETORIA       ;PRYC;PRY ;SA  ;DAILY     ;DWPRY 
0002;WATLOO                                  ;PRETORIA       ;PRYC;PRY ;SA  ;DAILY     ;DWPRY 
0002;ZWAVELDSPOORT                           ;PRETORIA       ;PRYC;PRY ;SA  ;DAILY     ;DWPRY 
0003;UNISA                                   ;UNISA          ;PRYC;PRY ;SA  ;DAILY     ;DWPRY 
0004;CITY COUNCIL                            ;PRETORIA       ;PRYC;PRY ;SA  ;DAILY     ;DWPRY 
0004;PRETORIA CITY COUNCIL                   ;PRETORIA       ;PRYC;PRY ;SA  ;DAILY     ;DWPRY 
0004;PRETORIA STADSRAAD                      ;PRETORIA       ;PRYC;PRY ;SA  ;DAILY     ;DWPRY 
0004;STADSRAAD                               ;PRETORIA       ;PRYC;PRY ;SA  ;DAILY     ;DWPRY 
0005;ALKANTRANT                              ;PRETORIA       ;PRYC;PRY ;SA  ;DAILY     ;DWPRY 
0007;ARCADIA                                 ;PRETORIA       ;PRYC;PRY ;SA  ;DAILY     ;DWPRY 
0010;CONSTANTIA PARK                         ;DERDEPOORT     ;PRYC;PRY ;SA  ;DAILY     ;DWPRY 
0010;DERDEPOORT                              ;DERDEPOORT     ;PRYC;PRY ;SA  ;DAILY     ;DWPRY 
0011;BROOKLYN                                ;BROOKLYN       ;PRYC;PRY ;SA  ;DAILY     ;DWPRY 
0012;TELKOM PLACE                            ;PRETORIA       ;PRYC;PRY ;SA  ;DAILY     ;DWPRY 
0014;SIMARLO                                 ;PRETORIA       ;PRYC;PRY ;SA  ;DAILY     ;DWPRY 
0016;COR DELFOS                              ;PRETORIA       ;PRYC;PRY ;SA  ;DAILY     ;DWPRY 
0017;DOORNPARK                               ;DOORNPOORT     ;PRYC;PRY ;SA  ;DAILY     ;DWPRY 
0017;DOORNPOORT                              ;DOORNPOORT     ;PRYC;PRY ;SA  ;DAILY     ;DWPRY 
0018;DANVILLE                                ;DASPOORT       ;PRYC;PRY ;SA  ;DAILY     ;DWPRY 
0019;DASPOORT                                ;PRETORIA       ;PRYC;PRY ;SA  ;DAILY     ;DWPRY 
0020;PERSEQUOR PARK                          ;PRETORIA       ;PRYC;PRY ;SA  ;DAILY     ;DWPRY 
0020;PERSEQUOR PARK                          ;PRETORIA       ;PRYC;PRY ;SA  ;DAILY     ;DWPRY 
0023;ERASMIA                                 ;PRETORIA       ;PRYC;PRY ;SA  ;DAILY     ;DWPRY 
0024;FOURIESRUS                              ;PRETORIA       ;PRYC;PRY ;SA  ;DAILY     ;DWPRY 
0027;GROENKLOOF                              ;PRETORIA       ;PRYC;PRY ;SA  ;DAILY     ;DWPRY 
0028;HATFIELD                                ;HATFIELD       ;PRYC;PRY ;SA  ;DAILY     ;DWPRY 
0030;HERCULES                                ;PRETORIA       ;PRYC;PRY ;SA  ;DAILY     ;DWPRY 
0030;MOUNTAIN VIEW                           ;PRETORIA       ;PRYC;PRY ;SA  ;DAILY     ;DWPRY 
0030;ROODEPLAAT                              ;PRETORIA       ;PRYC;PRY ;SA  ;DAILY     ;DWPRY 
0031;GEZINA                                  ;PRETORIA       ;PRYC;PRY ;SA  ;DAILY     ;DWPRY 
0032;ELANDSPOORT                             ;PRETORIA       ;PRYC;PRY ;SA  ;DAILY     ;DWPRY 
0033;WONDERBOOM POORT                        ;PRETORIA       ;PRYC;PRY ;SA  ;DAILY     ;DWPRY 
0033;WONDERBOOM POORT                        ;PRETORIA       ;PRYC;PRY ;SA  ;DAILY     ;DWPRY 
0035;DERDEPARK                               ;DERDEPARK      ;PRYC;PRY ;SA  ;DAILY     ;DWPRY 
0035;KAMEELDRIF EAST                         ;DERDEPARK      ;PRYC;PRY ;SA  ;DAILY     ;DWPRY 
0035;KAMEELDRIF-OOS                          ;DERDEPARK      ;PRYC;PRY ;SA  ;DAILY     ;DWPRY 
0035;KNOPPIESLAAGTE                          ;DERDEPARK      ;PRYC;PRY ;SA  ;DAILY     ;DWPRY 
0035;DERDEPARK                               ;DERDEPARK      ;PRYC;PRY ;SA  ;DAILY     ;DWPRY 
0035;KAMEELDRIF EAST                         ;DERDEPARK      ;PRYC;PRY ;SA  ;DAILY     ;DWPRY 
0035;KNOPPIESLAAGTE                          ;DERDEPARK      ;PRYC;PRY ;SA  ;DAILY     ;DWPRY 
0036;SWAVELPOORT                             ;PRETORIA       ;PRYC;PRY ;SA  ;DAILY     ;DWPRY 
0036;ZWAVELPOORT                             ;PRETORIA       ;PRYC;PRY ;SA  ;DAILY     ;DWPRY 
0037;CLAUDIUS                                ;LAUDIUM        ;PRYC;PRY ;SA  ;DAILY     ;DWPRY 
0037;LAUDIUM                                 ;LAUDIUM        ;PRYC;PRY ;SA  ;DAILY     ;DWPRY 
0037;LAUDIUM EXT                             ;LAUDIUM        ;PRYC;PRY ;SA  ;DAILY     ;DWPRY 
0037;LAUDIUM EXT 1                           ;LAUDIUM        ;PRYC;PRY ;SA  ;DAILY     ;DWPRY 
0037;LAUDIUM EXT 2                           ;LAUDIUM        ;PRYC;PRY ;SA  ;DAILY     ;DWPRY 
0037;LAUDIUM EXT 3                           ;LAUDIUM        ;PRYC;PRY ;SA  ;DAILY     ;DWPRY 
0039;BAVIAANSPOORT                           ;PRETORIA       ;PRYC;PRY ;SA  ;DAILY     ;DWPRY 
0039;LINDO PARK EXT 1                        ;PRETORIA       ;PRYC;PRY ;SA  ;DAILY     ;DWPRY 
0039;LINDOPARK UIT 1                         ;PRETORIA       ;PRYC;PRY ;SA  ;DAILY     ;DWPRY 
0039;LYNN EAST                               ;PRETORIA       ;PRYC;PRY ;SA  ;DAILY     ;DWPRY 
0039;LYNN-OOS                                ;PRETORIA       ;PRYC;PRY ;SA  ;DAILY     ;DWPRY 
0039;ROODEPLAAT                              ;PRETORIA       ;PRYC;PRY ;SA  ;DAILY     ;DWPRY 
0040;LYNNWOODPARK                            ;LYNNWOODRIDGE  ;PRYC;PRY ;SA  ;DAILY     ;DWPRY 
0041;WILLOWS                                 ;WILLOWS        ;PRYC;PRY ;SA  ;DAILY     ;DWPRY 
0042;GARSFONTEIN                             ;GARSFONTEIN    ;PRYC;PRY ;SA  ;DAILY     ;DWPRY 
0043;FAERIE GLEN                             ;FAERIE GLEN    ;PRYC;PRY ;SA  ;DAILY     ;DWPRY 
0043;FAIRVIEW                                ;FAERIE GLEN    ;PRYC;PRY ;SA  ;DAILY     ;DWPRY 
0043;FEARIE GLEN                             ;FAERIE GLEN    ;PRYC;PRY ;SA  ;DAILY     ;DWPRY 
0044;MORELETAPARK                            ;MORETELE       ;PRYC;PRY ;SA  ;DAILY     ;DWPRY 
0045;PIERRE VANRYNEVELD                      ;PIERRE VANRYNEV;PRYC;PRY ;SA  ;DAILY     ;DWPRY 
0046;CENTURION                               ;PRY\CENT       ;PRYC;PRY ;SA  ;DAILY     ;DWPRY 
0046;HIGHVELD CENTURION                      ;PRY\CENT       ;PRYC;PRY ;SA  ;DAILY     ;DWPRY 
0047;ELARDUS PARK                            ;ELARDUS PARK   ;PRYC;PRY ;SA  ;DAILY     ;DWPRY 
0048;ERASMUSKLOOF                            ;ERASMUSKLOOF   ;PRYC;PRY ;SA  ;DAILY     ;DWPRY 
0049;NEWLANDS                                ;NEWLANDS       ;PRYC;PRY ;SA  ;DAILY     ;DWPRY 
0050;PRETORIUS PARK                          ;WAPADRAND      ;PRYC;PRY ;SA  ;DAILY     ;DWPRY 
0051;SWARTKOP EXT 8                          ;CENTURION      ;PRYC;PRY ;SA  ;DAILY     ;DWPRY 
0051;SWARTKOP UIT 8                          ;CENTURION      ;PRYC;PRY ;SA  ;DAILY     ;DWPRY 
